service_date_key,line_assigned_engineer_count,line_total_distance_km,line_total_duration_min,line_avg_distance_km,line_avg_duration_min,line_jobs_std,line_max_total_work_min,line_overflow_480_count,line_service_count,line_heavy_repair_count,line_tv_job_count,line_total_service_time_min,line_weighted_jobs_std,osrm_assigned_engineer_count,osrm_total_distance_km,osrm_total_duration_min,osrm_avg_distance_km,osrm_avg_duration_min,osrm_jobs_std,osrm_max_total_work_min,osrm_overflow_480_count,osrm_service_count,osrm_heavy_repair_count,osrm_tv_job_count,osrm_total_service_time_min,osrm_weighted_jobs_std
2026-02-21,17,80.85,91.28,40.425,45.64,0.32218973970892123,90.92,0,2,0,0,90,0.0,17,80.85,91.28,40.425,45.64,0.32218973970892123,90.92,0,2,0,0,90,0.0
2026-02-22,17,30.56,35.27,30.56,35.27,0.23529411764705885,80.27,0,1,0,0,45,0.0,17,37.88,41.37,37.88,41.37,0.23529411764705885,86.37,0,1,0,0,45,0.0
2026-02-23,17,1086.9,1279.81,63.93529411764706,75.28294117647059,0.9843059135695007,387.47,0,54,15,2,3255,0.9982683969692435,17,997.27,1138.3,62.329375,71.14375,1.2941176470588236,401.57,0,54,15,2,3255,1.3095204274848102
2026-02-24,17,1396.77,1589.28,82.16294117647058,93.48705882352941,1.0323487514578966,403.48,0,61,17,3,3680,1.1910856900774462,17,1256.53,1428.18,73.9135294117647,84.01058823529412,1.4575896109839845,517.89,1,61,17,3,3680,2.1436314303868937
2026-02-25,17,1377.49,1535.81,81.02882352941177,90.34176470588235,0.7714633558002354,453.94,0,61,10,2,3295,0.7848037684780196,17,1221.58,1404.3899999999999,71.85764705882353,82.61117647058823,1.0878377652298192,454.74,0,61,10,2,3295,1.4239668749306125
2026-02-26,17,1084.42,1167.17,63.78941176470589,68.65705882352941,0.7714633558002355,358.27,0,44,15,3,2805,1.0910139406465535,17,868.12,1016.43,51.06588235294117,59.79,1.0878377652298192,462.41,0,44,15,3,2805,1.5384349212496495
2026-02-27,17,1046.92,1206.26,61.58352941176471,70.95647058823529,0.8022459821756386,314.92,0,50,11,1,2855,0.7714633558002354,17,862.98,1054.01,50.76352941176471,62.00058823529412,1.055550496760374,392.22,0,50,11,1,2855,1.3310245292923248
2026-02-28,17,11.28,15.47,11.28,15.47,0.23529411764705885,60.47,0,1,0,0,45,0.0,17,11.28,15.47,11.28,15.47,0.23529411764705885,60.47,0,1,0,0,45,0.0
2026-03-02,17,924.0699999999999,1017.74,54.35705882352941,59.86705882352941,0.7714633558002354,321.4,0,41,7,0,2230,0.9226110083151837,17,909.02,1001.39,53.47176470588235,58.90529411764706,1.0323487514578966,345.82,0,41,7,0,2230,1.2478354962115543
2026-03-03,17,255.98999999999998,272.17,36.57,38.88142857142857,0.4921529567847503,176.27,0,7,7,0,700,0.0,17,301.91,290.68,50.318333333333335,48.446666666666665,0.5998846486579746,273.44,0,7,7,0,700,0.7453559924999299
2026-03-04,17,390.25,390.41,30.01923076923077,30.031538461538464,0.5128116404165498,142.36,0,14,4,0,850,0.48650425541051995,17,339.40999999999997,362.86,28.284166666666664,30.238333333333333,0.7058823529411765,208.84,0,14,4,0,850,0.6454972243679028
2026-03-05,17,209.87,244.78,23.31888888888889,27.197777777777777,0.4991341984846218,153.79,0,9,2,0,515,0.41573970964154905,17,262.8,269.19,29.200000000000003,29.91,0.4991341984846218,153.79,0,9,2,0,515,0.41573970964154905
2026-03-06,17,124.13,126.58,31.0325,31.645,0.42418250299576343,125.88,0,4,1,0,235,0.4330127018922193,17,123.55000000000001,138.9,30.887500000000003,34.725,0.42418250299576343,135.16,0,4,1,0,235,0.4330127018922193
2026-03-09,17,286.95,265.46999999999997,71.7375,66.36749999999999,0.42418250299576343,195.21,0,4,1,0,235,0.4330127018922193,17,294.81,268.99,73.7025,67.2475,0.42418250299576343,195.21,0,4,1,0,235,0.4330127018922193
