POSTAL_CODE,STRATEGIC_CITY_NAME,region_id,region_seq,AREA_NAME,new_region_name,area_type
30180,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30185,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30187,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30188,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30189,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30204,Atlanta_6area,atlanta_6area_r06,6,ATL Outer Area,Atlanta_6area ATL Outer Area,DMS
30205,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30212,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30213,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30214,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30215,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30216,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30223,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30224,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30228,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30233,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30234,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30236,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30238,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30248,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30250,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30252,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30253,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30260,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30263,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30264,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30265,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30268,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30269,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30270,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30271,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30273,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30274,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30275,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30276,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30277,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30281,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30284,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30288,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30290,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30291,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30294,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30296,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30297,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30303,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30305,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30306,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30307,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30308,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30309,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30310,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30311,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30312,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30313,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30314,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30315,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30316,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30317,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30318,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30319,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30322,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30324,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30326,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30327,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30328,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30329,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30331,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30332,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30336,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30337,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30338,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30339,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30340,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30341,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30342,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30344,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30345,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30346,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30349,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30350,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30354,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30356,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30358,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30360,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30361,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30363,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30364,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30369,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30378,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30384,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30501,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30503,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30504,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30506,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30507,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30510,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30517,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30518,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30519,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30527,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30528,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30531,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30533,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30534,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30535,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30542,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30548,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30549,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30554,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30564,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30566,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30567,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30597,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30601,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30602,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30603,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30604,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30605,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30606,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30607,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30608,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30609,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30612,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30619,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30620,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30621,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30622,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30623,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30628,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30638,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
